Entry	Protein families_Gene	Protein families	Gene Names	Length	Domain [FT];
P35916	TYR_FLT4	TYR	FLT4 VEGFR3	1363	DOMAIN 30..127; /note="Ig-like C2-type 1"; DOMAIN 151..213; /note="Ig-like C2-type 2"; DOMAIN 219..326; /note="Ig-like C2-type 3"; DOMAIN 331..415; /note="Ig-like C2-type 4"; DOMAIN 422..552; /note="Ig-like C2-type 5"; DOMAIN 555..671; /note="Ig-like C2-type 6"; DOMAIN 678..764; /note="Ig-like C2-type 7"; DOMAIN 845..1173; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P04049	TKL_RAF1	TKL	RAF1 RAF	648	DOMAIN 56..131; /note="RBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00262"; DOMAIN 349..609; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13882	TYR_PTK6	TYR	PTK6 BRK	451	DOMAIN 8..72; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 78..170; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 191..445; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P11362	TYR_FGFR1	TYR	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	822	DOMAIN 25..119; /note="Ig-like C2-type 1"; DOMAIN 158..246; /note="Ig-like C2-type 2"; DOMAIN 255..357; /note="Ig-like C2-type 3"; DOMAIN 478..767; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P42679	TYR_MATK	TYR	MATK CTK HYL	507	DOMAIN 48..110; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 122..211; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 235..482; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q8IWU2	TYR_LMTK2	TYR	LMTK2 AATYK2 BREK KIAA1079 KPI2 LMR2	1503	DOMAIN 137..407; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P41240	TYR_CSK	TYR	CSK	450	DOMAIN 9..70; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 82..171; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 195..449; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q12851	STE_MAP4K2	STE	MAP4K2 GCK RAB8IP	820	DOMAIN 16..273; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 482..793; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795";
Q9UM73	TYR_ALK	TYR	ALK	1620	DOMAIN 264..427; /note="MAM 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00128"; DOMAIN 437..473; /note="LDL-receptor class A"; DOMAIN 478..636; /note="MAM 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00128"; DOMAIN 1116..1392; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q06187	TYR_BTK	TYR	BTK AGMX1 ATK BPK	659	DOMAIN 3..133; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 214..274; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 281..377; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 402..655; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13470	TYR_TNK1	TYR	TNK1	666	DOMAIN 116..377; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 380..445; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192";
P42685	TYR_FRK	TYR	FRK PTK5 RAK	505	DOMAIN 42..110; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 116..208; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 234..491; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q08881	TYR_ITK	TYR	ITK EMT LYK	620	DOMAIN 4..111; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 171..231; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 239..338; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 363..615; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O15146	TYR_MUSK	TYR	MUSK	869	DOMAIN 28..116; /note="Ig-like 1"; DOMAIN 121..205; /note="Ig-like 2"; DOMAIN 212..302; /note="Ig-like 3"; DOMAIN 312..450; /note="FZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00090"; DOMAIN 575..856; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P42681	TYR_TXK	TYR	TXK PTK4 RLK	527	DOMAIN 82..142; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 150..246; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 271..527; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q6J9G0	TYR_STYK1	TYR	STYK1 NOK	422	DOMAIN 114..384; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q96Q04	TYR_LMTK3	TYR	LMTK3 KIAA1883 TYKLM3	1460	DOMAIN 133..411; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P52333	TYR_JAK3	TYR	JAK3	1124	DOMAIN 24..356; /note="FERM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00084"; DOMAIN 375..475; /note="SH2; atypical"; DOMAIN 521..781; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 822..1111; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q06418	TYR_TYRO3	TYR	TYRO3 BYK DTK RSE SKY TIF	890	DOMAIN 41..128; /note="Ig-like C2-type 1"; DOMAIN 139..220; /note="Ig-like C2-type 2"; DOMAIN 227..320; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 325..416; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 518..790; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P29376	TYR_LTK	TYR	LTK TYK1	864	DOMAIN 510..786; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P51451	TYR_BLK	TYR	BLK	505	DOMAIN 58..118; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 124..220; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 241..494; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O60674	TYR_JAK2	TYR	JAK2	1132	DOMAIN 37..380; /note="FERM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00084"; DOMAIN 401..482; /note="SH2; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 545..809; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 849..1124; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P52564	STE_MAP2K6	STE	MAP2K6 MEK6 MKK6 PRKMK6 SKK3	334	DOMAIN 53..314; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P08631	TYR_HCK	TYR	HCK	526	DOMAIN 78..138; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 144..241; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 262..515; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q6ZMQ8	TYR_AATK	TYR	AATK AATYK KIAA0641 LMR1 LMTK1	1374	DOMAIN 125..395; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O14733	STE_MAP2K7	STE	MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4	419	DOMAIN 120..380; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P34925	TYR_RYK	TYR	RYK JTK5A	607	DOMAIN 66..194; /note="WIF"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00222"; DOMAIN 330..603; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q92918	STE_MAP4K1	STE	MAP4K1 HPK1	833	DOMAIN 17..274; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 495..800; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795";
O95819	STE_MAP4K4	STE	MAP4K4 HGK KIAA0687 NIK	1239	DOMAIN 25..289; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 926..1213; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795";
P51813	TYR_BMX	TYR	BMX	675	DOMAIN 4..111; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 296..392; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 417..675; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P23458	TYR_JAK1	TYR	JAK1 JAK1A JAK1B	1154	DOMAIN 34..420; /note="FERM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00084"; DOMAIN 439..544; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 583..855; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 875..1153; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q8IVH8	STE_MAP4K3	STE	MAP4K3 RAB8IPL1	894	DOMAIN 16..273; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 556..867; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795";
O95382	STE_MAP3K6	STE	MAP3K6 ASK2 MAPKKK6 MEKK6	1288	DOMAIN 648..906; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9Y4K4	STE_MAP4K5	STE	MAP4K5	846	DOMAIN 20..277; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 506..819; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795";
P43405	TYR_SYK	TYR	SYK	635	DOMAIN 15..107; /note="SH2 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 168..259; /note="SH2 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 371..631; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q99759	STE_MAP3K3	STE	MAP3K3 MAPKKK3 MEKK3	626	DOMAIN 44..123; /note="PB1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01081"; DOMAIN 362..622; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P42680	TYR_TEC	TYR	TEC PSCTK4	631	DOMAIN 4..111; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 179..239; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 247..345; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 370..623; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P29320	TYR_EPHA3	TYR	EPHA3 ETK ETK1 HEK TYRO4	983	DOMAIN 29..207; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 325..435; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 436..531; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 621..882; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 911..975; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
Q13308	TYR_PTK7	TYR	PTK7 CCK4	1070	DOMAIN 31..120; /note="Ig-like C2-type 1"; DOMAIN 128..218; /note="Ig-like C2-type 2"; DOMAIN 225..317; /note="Ig-like C2-type 3"; DOMAIN 309..407; /note="Ig-like C2-type 4"; DOMAIN 412..497; /note="Ig-like C2-type 5"; DOMAIN 503..586; /note="Ig-like C2-type 6"; DOMAIN 578..680; /note="Ig-like C2-type 7"; DOMAIN 796..1066; /note="Protein kinase; inactive"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13163	STE_MAP2K5	STE	MAP2K5 MEK5 MKK5 PRKMK5	448	DOMAIN 18..109; /note="PB1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01081"; DOMAIN 166..409; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P54753	TYR_EPHB3	TYR	EPHB3 ETK2 HEK2 TYRO6	998	DOMAIN 39..217; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 339..451; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 452..545; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 633..896; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 925..989; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P06239	TYR_LCK	TYR	LCK	509	DOMAIN 61..121; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 127..224; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 245..498; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q01974	TYR_ROR2	TYR	ROR2 NTRKR2	943	DOMAIN 55..145; /note="Ig-like C2-type"; DOMAIN 169..303; /note="FZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00090"; DOMAIN 316..394; /note="Kringle"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00121"; DOMAIN 473..746; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q8N4C8	STE_MINK1	STE	MINK1 B55 MAP4K6 MINK YSK2 ZC3	1332	DOMAIN 25..289; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 1019..1306; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795";
Q02763	TYR_TEK	TYR	TEK TIE2 VMCM VMCM1	1124	DOMAIN 44..123; /note="Ig-like C2-type 1"; DOMAIN 210..252; /note="EGF-like 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 254..299; /note="EGF-like 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 301..341; /note="EGF-like 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 350..440; /note="Ig-like C2-type 2"; DOMAIN 447..541; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 545..636; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 641..735; /note="Fibronectin type-III 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 824..1096; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9H3Y6	TYR_SRMS	TYR	SRMS C20orf148	488	DOMAIN 51..112; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 120..212; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 230..488; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P04629	TYR_NTRK1	TYR	NTRK1 MTC TRK TRKA	796	DOMAIN 148..193; /note="LRRCT"; DOMAIN 194..283; /note="Ig-like C2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00114"; DOMAIN 299..365; /note="Ig-like C2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00114"; DOMAIN 510..781; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P22607	TYR_FGFR3	TYR	FGFR3 JTK4	806	DOMAIN 24..126; /note="Ig-like C2-type 1"; DOMAIN 151..244; /note="Ig-like C2-type 2"; DOMAIN 253..355; /note="Ig-like C2-type 3"; DOMAIN 472..761; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P29597	TYR_TYK2	TYR	TYK2	1187	DOMAIN 26..431; /note="FERM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00084"; DOMAIN 450..529; /note="SH2; atypical"; DOMAIN 589..875; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 897..1176; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P80192	STE_MAP3K9	STE	MAP3K9 MLK1 PRKE1	1104	DOMAIN 52..116; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 144..412; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q12866	TYR_MERTK	TYR	MERTK MER	999	DOMAIN 81..186; /note="Ig-like C2-type 1"; DOMAIN 197..273; /note="Ig-like C2-type 2"; DOMAIN 286..381; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 386..484; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 587..858; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q08345	TYR_DDR1	TYR	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	913	DOMAIN 31..185; /note="F5/8 type C"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00081"; DOMAIN 610..905; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q5TCX8	STE_MAP3K21	STE	MAP3K21 KIAA1804 MLK4	1036	DOMAIN 38..102; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 124..401; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P16591	TYR_FER	TYR	FER TYK3	822	DOMAIN 1..259; /note="F-BAR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01077"; DOMAIN 460..550; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 563..816; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P29317	TYR_EPHA2	TYR	EPHA2 ECK	976	DOMAIN 28..206; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 328..432; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 438..529; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 613..875; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 904..968; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P54764	TYR_EPHA4	TYR	EPHA4 HEK8 SEK TYRO1	986	DOMAIN 30..209; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 328..439; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 440..537; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 621..882; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 911..975; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
Q99683	STE_MAP3K5	STE	MAP3K5 ASK1 MAPKKK5 MEKK5	1374	DOMAIN 680..938; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P42684	TYR_ABL2	TYR	ABL2 ABLL ARG	1182	DOMAIN 107..167; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 173..263; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 288..539; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P29323	TYR_EPHB2	TYR	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5	1055	DOMAIN 20..202; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 324..434; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 435..530; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 621..884; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 913..977; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P54762	TYR_EPHB1	TYR	EPHB1 ELK EPHT2 HEK6 NET	984	DOMAIN 19..201; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 322..432; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 433..528; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 619..882; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 911..975; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P54756	TYR_EPHA5	TYR	EPHA5 BSK EHK1 HEK7 TYRO4	1037	DOMAIN 60..238; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 357..467; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 468..562; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 675..936; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 965..1029; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
Q9Y2U5	STE_MAP3K2	STE	MAP3K2 MAPKKK2 MEKK2	619	DOMAIN 43..122; /note="PB1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01081"; DOMAIN 357..617; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
