Entry	Protein families_Gene	Protein families	Gene Names	Length	Domain [FT];
P98161	other_PKD1	other	PKD1	4303	DOMAIN 24..67; /note="LRRNT"; DOMAIN 125..178; /note="LRRCT"; DOMAIN 177..271; /note="WSC"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00558"; DOMAIN 272..359; /note="PKD 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 415..531; /note="C-type lectin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00040"; DOMAIN 638..671; /note="LDL-receptor class A; atypical"; DOMAIN 743..817; /note="PKD 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 855..928; /note="PKD 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 935..1020; /note="PKD 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1023..1129; /note="PKD 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1127..1215; /note="PKD 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1213..1298; /note="PKD 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1294..1383; /note="PKD 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1382..1469; /note="PKD 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1468..1551; /note="PKD 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1550..1635; /note="PKD 11"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1634..1721; /note="PKD 12"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1719..1805; /note="PKD 13"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1807..1890; /note="PKD 14"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1889..1974; /note="PKD 15"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 1977..2057; /note="PKD 16"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 2060..2148; /note="PKD 17"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00151"; DOMAIN 2146..2833; /note="REJ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00511"; DOMAIN 3012..3061; /note="GPS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00098"; DOMAIN 3118..3233; /note="PLAT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00152";
Q9BVA1	other_TUBB2B	other	TUBB2B	445	;
O60603	other_TLR2	other	TLR2 TIL4	784	DOMAIN 525..579; /note="LRRCT"; DOMAIN 639..782; /note="TIR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00204";
P68366	other_TUBA4A	other	TUBA4A TUBA1	448	;
P12259	other_F5	other	F5	2224	DOMAIN 30..329; /note="F5/8 type A 1"; DOMAIN 30..193; /note="Plastocyanin-like 1"; DOMAIN 203..329; /note="Plastocyanin-like 2"; DOMAIN 348..684; /note="F5/8 type A 2"; DOMAIN 348..526; /note="Plastocyanin-like 3"; DOMAIN 536..684; /note="Plastocyanin-like 4"; DOMAIN 1578..1907; /note="F5/8 type A 3"; DOMAIN 1578..1751; /note="Plastocyanin-like 5"; DOMAIN 1761..1907; /note="Plastocyanin-like 6"; DOMAIN 1907..2061; /note="F5/8 type C 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00081"; DOMAIN 2066..2221; /note="F5/8 type C 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00081";
Q13509	other_TUBB3	other	TUBB3 TUBB4	450	;
P09917	other_ALOX5	other	ALOX5 LOG5	674	DOMAIN 2..118; /note="PLAT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00152"; DOMAIN 119..674; /note="Lipoxygenase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00726";
Q06787	other_FMR1	other	FMR1	632	DOMAIN 4..50; /note="Agenet-like 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00973"; DOMAIN 63..115; /note="Agenet-like 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00973"; DOMAIN 222..251; /note="KH 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00117"; DOMAIN 285..314; /note="KH 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00117";
P01116	other_KRAS	other	KRAS KRAS2 RASK2	189	;
O15455	other_TLR3	other	TLR3	904	DOMAIN 24..51; /note="LRRNT"; DOMAIN 645..698; /note="LRRCT"; DOMAIN 754..897; /note="TIR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00204";
P08621	other_SNRNP70	other	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1	437	;
P04150	other_NR3C1	other	NR3C1 GRL	777	DOMAIN 524..758; /note="NR LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01189";
P06280	other_GLA	other	GLA	429	;
Q5T7V8	other_GORAB	other	GORAB NTKLBP1 SCYL1BP1	369	;
O60346	other_PHLPP1	other	PHLPP1 KIAA0606 PHLPP PLEKHE1 SCOP	1717	;
Q6ZVD8	other_PHLPP2	other	PHLPP2 KIAA0931 PHLPPL	1323	;
Q96MN2	other_NLRP4	other	NLRP4 NALP4 PAN2 PYPAF4 RNH2	994	DOMAIN 1..94; /note="Pyrin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00061"; DOMAIN 149..472; /note="NACHT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00136";
Q96DA2	other_RAB39B	other	RAB39B	213	;
Q96NW7	other_LRRC7	other	LRRC7 KIAA1365 LAP1	1537	DOMAIN 1445..1535; /note="PDZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143";
Q9UQ13	other_SHOC2	other	SHOC2 KIAA0862	582	;
Q7Z7A1	other_CNTRL	other	CNTRL CEP1 CEP110	2325	;
P17812	other_CTPS1	other	CTPS1 CTPS	591	DOMAIN 300..554; /note="Glutamine amidotransferase type-1";
Q8NHU3	other_SGMS2	other	SGMS2 SMS2	365	;
A6NNZ2	other_TUBB8B	other	TUBB8B	444	;
P68133	other_ACTA1	other	ACTA1 ACTA	377	;
Q9HBX9	other_RXFP1	other	RXFP1 LGR7	757	DOMAIN 26..63; /note="LDL-receptor class A"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00124"; DOMAIN 91..127; /note="LRRNT";
Q7L1W4	other_LRRC8D	other	LRRC8D LRRC5 UNQ213/PRO239	858	;
Q9UM00	other_TMCO1	other	TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177	239	;
Q9NYB0	other_TERF2IP	other	TERF2IP DRIP5 RAP1 PP8000	399	DOMAIN 78..101; /note="BRCT"; DOMAIN 128..188; /note="Myb-like";
Q9Y4C4	other_MFHAS1	other	MFHAS1 MASL1	1052	;
P17302	other_GJA1	other	GJA1 GJAL	382	;
Q92736	other_RYR2	other	RYR2	4967	DOMAIN 110..165; /note="MIR 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00131"; DOMAIN 172..217; /note="MIR 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00131"; DOMAIN 225..280; /note="MIR 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00131"; DOMAIN 286..343; /note="MIR 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00131"; DOMAIN 351..408; /note="MIR 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00131"; DOMAIN 599..809; /note="B30.2/SPRY 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00548"; DOMAIN 1025..1222; /note="B30.2/SPRY 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00548"; DOMAIN 1337..1562; /note="B30.2/SPRY 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00548";
P17661	other_DES	other	DES	470	DOMAIN 108..416; /note="IF rod"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01188";
Q969F8	other_KISS1R	other	KISS1R AXOR12 GPR54	398	;
P68371	other_TUBB4B	other	TUBB4B TUBB2C	445	;
P51790	other_CLCN3	other	CLCN3	818	DOMAIN 658..722; /note="CBS 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703"; DOMAIN 755..812; /note="CBS 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703";
Q8WU10	other_PYROXD1	other	PYROXD1	500	;
Q8NFJ6	other_PROKR2	other	PROKR2 GPR73L1 PKR2	384	;
Q9BUF5	other_TUBB6	other	TUBB6	446	;
O95436	other_SLC34A2	other	SLC34A2	690	;
O95970	other_LGI1	other	LGI1 EPT UNQ775/PRO1569	557	;
O15357	other_INPPL1	other	INPPL1 SHIP2	1258	DOMAIN 21..117; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 1196..1258; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
Q9Y2C9	other_TLR6	other	TLR6	796	DOMAIN 521..575; /note="LRRCT"; DOMAIN 640..781; /note="TIR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00204";
Q9P2D1	other_CHD7	other	CHD7 KIAA1416	2997	DOMAIN 800..867; /note="Chromo 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00053"; DOMAIN 882..947; /note="Chromo 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00053"; DOMAIN 980..1154; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 1294..1464; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542";
P16615	other_ATP2A2	other	ATP2A2 ATP2B	1042	;
P08588	other_ADRB1	other	ADRB1 ADRB1R B1AR	477	;
Q13485	other_SMAD4	other	SMAD4 DPC4 MADH4	552	DOMAIN 18..142; /note="MH1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00438"; DOMAIN 323..552; /note="MH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00439";
Q9NR96	other_TLR9	other	TLR9 UNQ5798/PRO19605	1032	DOMAIN 868..1013; /note="TIR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00204";
Q3ZCM7	other_TUBB8	other	TUBB8	444	;
Q9NR97	other_TLR8	other	TLR8 UNQ249/PRO286	1041	DOMAIN 772..824; /note="LRRCT"; DOMAIN 878..1022; /note="TIR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00204";
P15924	other_DSP	other	DSP	2871	DOMAIN 458..515; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192";
Q14524	other_SCN5A	other	SCN5A	2016	DOMAIN 1901..1930; /note="IQ";
P13647	other_KRT5	other	KRT5	590	DOMAIN 168..481; /note="IF rod"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01188";
Q8N456	other_LRRC18	other	LRRC18 UNQ9338/PRO34010	261	;
Q8N9N7	other_LRRC57	other	LRRC57	239	;
Q5VYV7	other_SLX4IP	other	SLX4IP C20orf94	408	;
Q96CX6	other_LRRC58	other	LRRC58	371	;
Q6ZNQ3	other_LRRC69	other	LRRC69	347	;
Q9H9A6	other_LRRC40	other	LRRC40	602	;
