Entry	Entry Name	Protein names	Gene Names	Length	Protein families	Domain [FT]
Q00535	CDK5_HUMAN	Cyclin-dependent kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Cyclin-dependent-like kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	CDK5 CDKN5 PSSALRE	292	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..286; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9H2X6	HIPK2_HUMAN	Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)	HIPK2	1198	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily	DOMAIN 199..527; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P48730	KC1D_HUMAN	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	CSNK1D HCKID	415	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily	DOMAIN 9..277; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P06493	CDK1_HUMAN	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	297	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..287; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P27707	DCK_HUMAN	Deoxycytidine kinase (dCK) (EC 2.7.1.74) (Deoxyadenosine kinase) (EC 2.7.1.76) (Deoxyguanosine kinase) (EC 2.7.1.113)	DCK	260	DCK/DGK family	
P50613	CDK7_HUMAN	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	CDK7 CAK CAK1 CDKN7 MO15 STK1	346	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 12..295; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q13557	KCC2D_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)	CAMK2D CAMKD	499	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 14..272; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P17612	KAPCA_HUMAN	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	PRKACA PKACA	351	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily	DOMAIN 44..298; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 299..351; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q13554	KCC2B_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)	CAMK2B CAM2 CAMK2 CAMKB	666	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 14..272; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P50750	CDK9_HUMAN	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)	CDK9 CDC2L4 TAK	372	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 19..315; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q96SZ6	CK5P1_HUMAN	Mitochondrial tRNA methylthiotransferase CDK5RAP1 (EC 2.8.4.3) (CDK5 activator-binding protein C42) (CDK5 regulatory subunit-associated protein 1) (mt-tRNA-2-methylthio-N6-dimethylallyladenosine synthase) (mt-tRNA-N6-(dimethylallyl)adenosine(37) methylthiotransferase)	CDK5RAP1 C20orf34 CGI-05 HSPC167	601	Methylthiotransferase family, MiaB subfamily	DOMAIN 100..220; /note="MTTase N-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00780"; DOMAIN 244..512; /note="Radical SAM core"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01266"; DOMAIN 515..590; /note="TRAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00208"
Q9UQM7	KCC2A_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	CAMK2A CAMKA KIAA0968	478	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 13..271; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q00534	CDK6_HUMAN	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	326	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 13..300; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q00526	CDK3_HUMAN	Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)	CDK3 CDKN3	305	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..286; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q96SB4	SRPK1_HUMAN	SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)	SRPK1	655	Protein kinase superfamily, CMGC Ser/Thr protein kinase family	DOMAIN 80..653; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q16513	PKN2_HUMAN	Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2)	PKN2 PRK2 PRKCL2	984	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 33..109; /note="REM-1 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 121..203; /note="REM-1 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 204..284; /note="REM-1 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 353..473; /note="C2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"; DOMAIN 657..916; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 917..984; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q96NX5	KCC1G_HUMAN	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	CAMK1G CLICK3 VWS1	476	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 23..277; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q92630	DYRK2_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)	DYRK2	601	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily	DOMAIN 222..535; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P78368	KC1G2_HUMAN	Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)	CSNK1G2 CK1G2	415	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily	DOMAIN 46..316; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q14012	KCC1A_HUMAN	Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha)	CAMK1	370	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 20..276; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q15208	STK38_HUMAN	Serine/threonine-protein kinase 38 (EC 2.7.11.1) (NDR1 protein kinase) (Nuclear Dbf2-related kinase 1)	STK38 NDR1	465	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 89..382; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000312|EMBL:CAA84485.1"; DOMAIN 383..455; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q9Y2H1	ST38L_HUMAN	Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)	STK38L KIAA0965 NDR2	464	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 90..383; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 384..453; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q15759	MK11_HUMAN	Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2)	MAPK11 PRKM11 SAPK2 SAPK2B	364	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 24..308; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q8N568	DCLK2_HUMAN	Serine/threonine-protein kinase DCLK2 (EC 2.7.11.1) (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin domain-containing protein 3B) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2)	DCLK2 DCAMKL2 DCDC3B DCK2	766	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 72..158; /note="Doublecortin 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00072"; DOMAIN 197..280; /note="Doublecortin 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00072"; DOMAIN 394..651; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9H422	HIPK3_HUMAN	Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)	HIPK3 DYRK6 FIST3 PKY	1215	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily	DOMAIN 197..525; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q86Z02	HIPK1_HUMAN	Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) (Nuclear body-associated kinase 2)	HIPK1 KIAA0630 MYAK NBAK2	1210	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily	DOMAIN 190..518; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P78362	SRPK2_HUMAN	SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]	SRPK2	688	Protein kinase superfamily, CMGC Ser/Thr protein kinase family	DOMAIN 81..684; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q86Y07	VRK2_HUMAN	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	VRK2	508	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily	DOMAIN 29..319; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q99986	VRK1_HUMAN	Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)	VRK1	396	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily	DOMAIN 37..317; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q13131	AAPK1_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	559	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	DOMAIN 27..279; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P05067	A4_HUMAN	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	770	APP family	DOMAIN 28..189; /note="E1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01217"; DOMAIN 291..341; /note="BPTI/Kunitz inhibitor"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00031"; DOMAIN 374..565; /note="E2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01218"
P53779	MK10_HUMAN	Mitogen-activated protein kinase 10 (MAP kinase 10) (MAPK 10) (EC 2.7.11.24) (MAP kinase p49 3F12) (Stress-activated protein kinase 1b) (SAPK1b) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3)	MAPK10 JNK3 JNK3A PRKM10 SAPK1B	464	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 64..359; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q15418	KS6A1_HUMAN	Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)	RPS6KA1 MAPKAPK1A RSK1	735	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	DOMAIN 62..321; /note="Protein kinase 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 322..391; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 418..675; /note="Protein kinase 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P01375	TNFA_HUMAN	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	TNF TNFA TNFSF2	233	Tumor necrosis factor family	
Q9H093	NUAK2_HUMAN	NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	NUAK2 OMPHK2 SNARK	628	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	DOMAIN 53..303; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
